TAR CORPORATE 2020
EDAD actuarial;Fallecimiento;Fallecimiento accidente;Fallecimiento accidente circul.;IPA;IPA accidente;IPA accidente circulación;Enfermedades Graves;Segunda opinión;Prima TOTAL
18;0,00046;0,00075;0,00042;0,00003;0,00050;0,00027;0,00046;10,98138;10,98428
19;0,00047;0,00075;0,00042;0,00004;0,00050;0,00027;0,00052;10,98138;10,98435
20;0,00048;0,00075;0,00042;0,00004;0,00050;0,00027;0,00059;10,98138;10,98444
21;0,00049;0,00075;0,00042;0,00005;0,00050;0,00027;0,00065;10,98138;10,98452
22;0,00050;0,00075;0,00042;0,00005;0,00050;0,00027;0,00071;10,98138;10,98459
23;0,00051;0,00075;0,00042;0,00006;0,00050;0,00027;0,00078;10,98138;10,98467
24;0,00052;0,00075;0,00042;0,00007;0,00050;0,00027;0,00083;10,98138;10,98474
25;0,00052;0,00075;0,00042;0,00008;0,00050;0,00027;0,00089;10,98138;10,98482
26;0,00052;0,00075;0,00042;0,00008;0,00050;0,00027;0,00095;10,98138;10,98488
27;0,00051;0,00075;0,00042;0,00009;0,00050;0,00027;0,00102;10,98138;10,98495
28;0,00050;0,00075;0,00042;0,00010;0,00050;0,00027;0,00110;10,98138;10,98503
29;0,00049;0,00075;0,00042;0,00011;0,00050;0,00027;0,00118;10,98138;10,98511
30;0,00048;0,00075;0,00042;0,00013;0,00050;0,00027;0,00129;10,98138;10,98522
31;0,00048;0,00075;0,00042;0,00014;0,00050;0,00027;0,00140;10,98138;10,98534
32;0,00049;0,00075;0,00042;0,00016;0,00050;0,00027;0,00151;10,98138;10,98547
33;0,00050;0,00075;0,00042;0,00017;0,00050;0,00027;0,00163;10,98138;10,98563
34;0,00054;0,00075;0,00042;0,00019;0,00050;0,00027;0,00177;10,98138;10,98582
35;0,00059;0,00075;0,00042;0,00021;0,00050;0,00027;0,00191;10,98138;10,98604
36;0,00066;0,00075;0,00042;0,00024;0,00050;0,00027;0,00205;10,98138;10,98627
37;0,00073;0,00075;0,00042;0,00026;0,00050;0,00027;0,00223;10,98138;10,98655
38;0,00080;0,00075;0,00042;0,00029;0,00050;0,00027;0,00246;10,98138;10,98688
39;0,00088;0,00075;0,00042;0,00033;0,00050;0,00027;0,00269;10,98138;10,98722
40;0,00098;0,00075;0,00042;0,00036;0,00050;0,00027;0,00295;10,98138;10,98761
41;0,00108;0,00075;0,00042;0,00040;0,00050;0,00027;0,00327;10,98138;10,98808
42;0,00121;0,00075;0,00042;0,00045;0,00050;0,00027;0,00362;10,98138;10,98861
43;0,00136;0,00075;0,00042;0,00050;0,00050;0,00027;0,00403;10,98138;10,98921
44;0,00151;0,00075;0,00042;0,00055;0,00050;0,00027;0,00447;10,98138;10,98986
45;0,00168;0,00075;0,00042;0,00062;0,00050;0,00027;0,00493;10,98138;10,99055
46;0,00187;0,00075;0,00042;0,00068;0,00050;0,00027;0,00543;10,98138;10,99130
47;0,00207;0,00075;0,00042;0,00076;0,00050;0,00027;0,00598;10,98138;10,99214
48;0,00230;0,00075;0,00042;0,00084;0,00050;0,00027;0,00662;10,98138;10,99308
49;0,00255;0,00075;0,00042;0,00094;0,00050;0,00027;0,00730;10,98138;10,99411
50;0,00282;0,00075;0,00042;0,00104;0,00050;0,00027;0,00806;10,98138;10,99525
51;0,00313;0,00075;0,00042;0,00116;0,00050;0,00027;0,00888;10,98138;10,99649
52;0,00344;0,00075;0,00042;0,00129;0,00050;0,00027;0,00978;10,98138;10,99783
53;0,00376;0,00075;0,00042;0,00143;0,00050;0,00027;0,01075;10,98138;10,99927
54;0,00410;0,00075;0,00042;0,00159;0,00050;0,00027;0,01182;10,98138;11,00084
55;0,00446;0,00075;0,00042;0,00177;0,00050;0,00027;0,01297;10,98138;11,00253
56;0,00484;0,00075;0,00042;0,00197;0,00050;0,00027;0,01422;10,98138;11,00435
57;0,00525;0,00075;0,00042;0,00219;0,00050;0,00027;0,01555;10,98138;11,00631
58;0,00565;0,00075;0,00042;0,00243;0,00050;0,00027;0,01685;10,98138;11,00825
59;0,00602;0,00075;0,00042;0,00270;0,00050;0,00027;0,01818;10,98138;11,01023
60;0,00638;0,00075;0,00042;0,00300;0,00050;0,00027;0,01954;10,98138;11,01225
61;0,00674;0,00075;0,00042;0,00334;0,00050;0,00027;0,02091;10,98138;11,01431
62;0,00709;0,00075;0,00042;0,00371;0,00050;0,00027;0,02209;10,98138;11,01622
63;0,00746;0,00075;0,00042;0,00413;0,00050;0,00027;0,02305;10,98138;11,01796
64;0,00787;0,00075;0,00042;0,00459;0,00050;0,00027;0,02426;10,98138;11,02005
65;0,00834;0,00075;0,00042;0,00507;0,00050;0,00027;0,02548;10,98138;11,02222
66;0,00922;0,00075;0,00042;0,00563;0,00050;0,00027;0,02662;10,98138;11,02480
67;0,01027;0,00075;0,00042;0,00000;0,00050;0,00027;0,00000;10,98138;10,99359
68;0,01151;0,00075;0,00042;0,00000;0,00050;0,00027;0,00000;10,98138;10,99483
69;0,01297;0,00075;0,00042;0,00000;0,00050;0,00027;0,00000;10,98138;10,99630
70;0,01470;0,00075;0,00042;0,00000;0,00050;0,00027;0,00000;10,98138;10,99802
71;0,01672;0,00075;0,00042;0,00000;0,00050;0,00027;0,00000;10,98138;11,00005
72;0,01911;0,00075;0,00042;0,00000;0,00050;0,00027;0,00000;10,98138;11,00244
73;0,02228;0,00075;0,00042;0,00000;0,00050;0,00027;0,00000;10,98138;11,00560
74;0,02611;0,00075;0,00042;0,00000;0,00050;0,00027;0,00000;10,98138;11,00944
75;0,03078;0,00075;0,00042;0,00000;0,00050;0,00027;0,00000;10,98138;11,01411
